name,id,nametype,recclass,year,reclat,reclong,GeoLocation,mass
Douar Mghila,7723,Valid,LL6,1932.0,32.33333,-6.3,"(32.33333, -6.3)",1.161
Dowa,7725,Valid,Stone-uncl,1976.0,-13.66667,33.91667,"(-13.66667, 33.91667)",0.642
Dresden (Ontario),7731,Valid,H6,1939.0,42.52,-82.26,"(42.52, -82.26)",47.7
Dubrovnik,7736,Valid,L3-6,1951.0,42.45833,18.44167,"(42.45833, 18.44167)",1.9
Dunbogan,7743,Valid,L6,1999.0,-31.66667,152.83333,"(-31.66667, 152.83333)",0.03
Duwun,7754,Valid,L6,1943.0,33.43333,127.26667,"(33.43333, 127.26667)",2.117
Dwaleni,7755,Valid,H4-6,1970.0,-27.2,31.31667,"(-27.2, 31.31667)",3.23
Dyarrl Island,7758,Valid,Mesosiderite-A1,1933.0,-3.0,151.0,"(-3.0, 151.0)",0.188
Eagle,7760,Valid,EL6,1947.0,40.78167,-96.47167,"(40.78167, -96.47167)",10.0
Ehole,7774,Valid,H5,1961.0,-17.3,15.83333,"(-17.3, 15.83333)",2.4
Ekeby,7776,Valid,H4,1939.0,56.03333,13.0,"(56.03333, 13.0)",3.336
Ekh Khera,7777,Valid,H6,1916.0,28.26667,78.78333,"(28.26667, 78.78333)",0.84
El Idrissia,7807,Valid,L6,1989.0,34.41667,3.25,"(34.41667, 3.25)",10.0
El Paso de Aguila,45977,Valid,H5,1977.0,25.37,-97.37,"(25.37, -97.37)",17.226
El Tigre,7819,Valid,L6,1993.0,19.96722,-103.05167,"(19.96722, -103.05167)",5.0
Elbert,7822,Valid,LL6,1998.0,39.24667,-104.58817,"(39.24667, -104.58817)",0.6805
Elenovka,7824,Valid,L5,1951.0,47.83333,37.66667,"(47.83333, 37.66667)",54.64
Ellemeet,10019,Valid,Diogenite,1925.0,51.75,4.0,"(51.75, 4.0)",1.47
Enshi,10038,Valid,H5,1974.0,30.3,109.5,"(30.3, 109.5)",8.0
Erakot,10042,Valid,CM2,1940.0,19.03333,81.89167,"(19.03333, 81.89167)",0.113
Erevan,10043,Valid,Howardite,1911.0,40.3,44.5,"(40.3, 44.5)",0.1072
Essebi,10055,Valid,C2-ung,1957.0,2.88333,30.83333,"(2.88333, 30.83333)",0.5
Farmville,10075,Valid,H4,1934.0,35.55,-77.53333,"(35.55, -77.53333)",56.0
Fayetteville,10079,Valid,H4,1934.0,36.05,-94.16667,"(36.05, -94.16667)",2.36
Fenghsien-Ku,10086,Valid,H5,1924.0,34.6,116.75,"(34.6, 116.75)",0.082
Fermo,10091,Valid,H3-5,1996.0,43.18111,13.75333,"(43.18111, 13.75333)",10.2
Florence,10111,Valid,H3,1922.0,30.83333,-97.76667,"(30.83333, -97.76667)",3.64
Forest Vale,10120,Valid,H4,1942.0,-33.35,146.85833,"(-33.35, 146.85833)",26.0
Forksville,10123,Valid,L6,1924.0,36.78333,-78.08333,"(36.78333, -78.08333)",6.067
Fuhe,52412,Valid,L5,1945.0,31.47556,113.56694,"(31.47556, 113.56694)",23.0
Fuyang,10840,Valid,Stone-uncl,1977.0,32.9,115.9,"(32.9, 115.9)",2.5
Galim (a),10848,Valid,LL6,1952.0,7.05,12.43333,"(7.05, 12.43333)",0.0361
Galim (b),10849,Valid,EH3/4-an,1952.0,7.05,12.43333,"(7.05, 12.43333)",0.028
Galkiv,10850,Valid,H4,1995.0,51.68333,30.78333,"(51.68333, 30.78333)",5.0
Garhi Yasin,10860,Valid,"Iron, IIE",1917.0,27.88333,68.53333,"(27.88333, 68.53333)",0.38
Garland,10861,Valid,Diogenite-pm,1950.0,41.68333,-112.13333,"(41.68333, -112.13333)",0.102
Gashua,44882,Valid,L6,1984.0,12.85,11.03333,"(12.85, 11.03333)",4.162
Geidam,10870,Valid,H5,1950.0,12.91667,11.91667,"(12.91667, 11.91667)",0.725
Gifu,10914,Valid,L6,1909.0,35.53333,136.88333,"(35.53333, 136.88333)",14.29
Git-Git,10919,Valid,L6,1947.0,9.6,9.91667,"(9.6, 9.91667)",0.48
Glanerbrug,10923,Valid,L/LL5,1990.0,52.2,6.86667,"(52.2, 6.86667)",0.67
Glanggang,10924,Valid,H5-6,1939.0,-7.25,107.7,"(-7.25, 107.7)",1.303
Glasatovo,10926,Valid,H4,1918.0,57.35,37.61667,"(57.35, 37.61667)",152.0
Glatton,10930,Valid,L6,1991.0,52.45972,-0.3,"(52.45972, -0.3)",0.767
Gorlovka,10949,Valid,H3.7,1974.0,48.28333,38.08333,"(48.28333, 38.08333)",3.618
Granes,10956,Valid,L6,1964.0,42.9,2.25,"(42.9, 2.25)",9.0
Grefsheim,11196,Valid,L5,1976.0,60.66667,11.0,"(60.66667, 11.0)",0.0455
Grimsby,50911,Valid,H5,2009.0,43.2,-79.61667,"(43.2, -79.61667)",0.215
Grzempach,11429,Valid,H5,1910.0,52.86667,16.63333,"(52.86667, 16.63333)",0.69
Gualeguaychú,11432,Valid,H6,1932.0,-33.0,-58.61667,"(-33.0, -58.61667)",22.0
Guangmingshan,11435,Valid,H5,1996.0,39.80417,122.76389,"(39.80417, 122.76389)",2.91
Guangrao,11437,Valid,L6,1980.0,37.1,118.4,"(37.1, 118.4)",1.9
Guibga,11442,Valid,L5,1972.0,13.5,-0.68333,"(13.5, -0.68333)",0.288
Guidder,11443,Valid,LL5,1949.0,9.91667,13.98333,"(9.91667, 13.98333)",0.968
Gujargaon,11448,Valid,H5,1982.0,22.98333,76.05,"(22.98333, 76.05)",2.449
Gujba,11449,Valid,CBa,1984.0,11.49167,11.65833,"(11.49167, 11.65833)",100.0
Gumoschnik,11450,Valid,H5,1904.0,42.9,24.7,"(42.9, 24.7)",5.7
Gursum,11465,Valid,H4/5,1981.0,9.36667,42.41667,"(9.36667, 42.41667)",34.65
Gyokukei,11467,Valid,OC,1930.0,35.0,127.5,"(35.0, 127.5)",1.32
Hainaut,11472,Valid,H3-6,1934.0,50.31667,3.73333,"(50.31667, 3.73333)",9.0
Hallingeberg,11479,Valid,L3.4,1944.0,57.81667,16.23333,"(57.81667, 16.23333)",1.456
Hamlet,11485,Valid,LL4,1959.0,41.38333,-86.6,"(41.38333, -86.6)",3.71
Haripura,11829,Valid,CM2,1921.0,28.38333,75.78333,"(28.38333, 75.78333)",0.315
Harleton,11830,Valid,L6,1961.0,32.675,-94.51167,"(32.675, -94.51167)",8.36
Hashima,11848,Valid,H4,1910.0,35.2945,136.70033,"(35.2945, 136.70033)",1.1105999999999998
Haverö,11859,Valid,Ureilite,1971.0,60.24556,22.06194,"(60.24556, 22.06194)",1.544
Hedeskoga,11869,Valid,H5,1922.0,55.46667,13.78333,"(55.46667, 13.78333)",3.5
Hedjaz,11870,Valid,L3.7-6,1910.0,27.33333,35.66667,"(27.33333, 35.66667)",6.1
Hiroshima,11889,Valid,H5,2003.0,34.45,132.38333,"(34.45, 132.38333)",0.414
Hoima,44714,Valid,H6,2003.0,1.345,31.47278,"(1.345, 31.47278)",0.1677
Hökmark,11893,Valid,L4,1954.0,64.43333,21.2,"(64.43333, 21.2)",0.3055
Holbrook,11894,Valid,L/LL6,1912.0,34.9,-110.18333,"(34.9, -110.18333)",220.0
Holetta,11895,Valid,Stone-uncl,1923.0,9.06667,38.41667,"(9.06667, 38.41667)",1.415
Hotse,11913,Valid,L6,1956.0,35.66667,115.5,"(35.66667, 115.5)",0.18
Hoxie,11915,Valid,OC,1963.0,39.35,-100.45,"(39.35, -100.45)",0.2661
Huaxi,54719,Valid,H5,2010.0,26.46469,106.63241,"(26.46469, 106.63241)",1.6
Hvittis,11989,Valid,EL6,1901.0,61.18333,22.68333,"(61.18333, 22.68333)",14.0
Ibitira,11993,Valid,Eucrite-mmict,1957.0,-20.0,-45.0,"(-20.0, -45.0)",2.5
Ichkala,11995,Valid,H6,1936.0,58.2,82.93333,"(58.2, 82.93333)",3.973
Idutywa,12000,Valid,H5,1956.0,-32.1,28.33333,"(-32.1, 28.33333)",3.457
Iguaracu,12003,Valid,H5,1977.0,-23.2,-51.83333,"(-23.2, -51.83333)",1.2
Ijopega,12004,Valid,H6,1975.0,-6.03333,145.36667,"(-6.03333, 145.36667)",7.33
Independence,12028,Valid,L6,1917.0,39.08333,-94.4,"(39.08333, -94.4)",0.88
Inner Mongolia,12037,Valid,L6,1963.0,41.0,112.0,"(41.0, 112.0)",3.0
Innisfree,12039,Valid,L5,1977.0,53.415,-111.3375,"(53.415, -111.3375)",4.576
Ipiranga,12043,Valid,H6,1972.0,-25.5,-54.5,"(-25.5, -54.5)",7.0
Ishinga,12049,Valid,H,1954.0,-8.93333,33.8,"(-8.93333, 33.8)",1.3
Isthilart,12053,Valid,H5,1928.0,-31.18333,-57.95,"(-31.18333, -57.95)",3.05
Itqiy,12058,Valid,EH7-an,1990.0,26.59083,-12.95217,"(26.59083, -12.95217)",4.72
Ivuna,12063,Valid,CI1,1938.0,-8.41667,32.43333,"(-8.41667, 32.43333)",0.7045
Jackalsfontein,12065,Valid,L6,1903.0,-32.5,21.9,"(-32.5, 21.9)",48.0
Jajh deh Kot Lalu,12067,Valid,EL6,1926.0,26.75,68.41667,"(26.75, 68.41667)",0.973
Jartai,12074,Valid,L6,1979.0,39.7,105.8,"(39.7, 105.8)",20.5
Jesenice,51589,Valid,L6,2009.0,46.42137,14.05217,"(46.42137, 14.05217)",3.667
Jiange,12086,Valid,H5,1964.0,31.91667,104.91667,"(31.91667, 104.91667)",0.222
Jilin,12171,Valid,H5,1976.0,44.05,126.16667,"(44.05, 126.16667)",4000.0
Jodiya,47362,Valid,L5,2006.0,22.68,70.31333,"(22.68, 70.31333)",0.1
Johnstown,12198,Valid,Diogenite,1924.0,40.35,-104.9,"(40.35, -104.9)",40.3
Jolomba,12199,Valid,LL6,1974.0,-11.85,15.83333,"(-11.85, 15.83333)",0.483
Juancheng,12203,Valid,H5,1997.0,35.5,115.41667,"(35.5, 115.41667)",100.0
Jumapalo,12209,Valid,L6,1984.0,-7.71667,111.2,"(-7.71667, 111.2)",32.49
Junan,12210,Valid,L6,1976.0,35.2,118.8,"(35.2, 118.8)",0.95
Juromenha,12213,Valid,"Iron, IIIAB",1968.0,38.74028,-7.27,"(38.74028, -7.27)",25.25
Kabo,12220,Valid,H4,1971.0,11.85,8.21667,"(11.85, 8.21667)",13.4
Kagarlyk,12227,Valid,L6,1908.0,49.86667,30.83333,"(49.86667, 30.83333)",1.9
Kaidun,12228,Valid,CR2,1980.0,15.0,48.3,"(15.0, 48.3)",2.0
Kainsaz,12229,Valid,CO3.2,1937.0,55.43333,53.25,"(55.43333, 53.25)",200.0
Kalaba,12232,Valid,H4,1951.0,-6.83333,29.5,"(-6.83333, 29.5)",0.95
Kamalpur,12238,Valid,L6,1942.0,26.03333,81.46667,"(26.03333, 81.46667)",2.77
Kamiomi,12240,Valid,H5,1913.0,36.04167,139.95667,"(36.04167, 139.95667)",0.448
Kamsagar,12241,Valid,L6,1902.0,14.18333,75.8,"(14.18333, 75.8)",1.293
Kandahar (Afghanistan),12243,Valid,L6,1959.0,31.6,65.78333,"(31.6, 65.78333)",0.299
Kangean,12245,Valid,H5,1908.0,-7.0,115.5,"(-7.0, 115.5)",1.63
Kapoeta,12251,Valid,Howardite,1942.0,4.7,33.63333,"(4.7, 33.63333)",11.355
Kaprada,47357,Valid,L5/6,2004.0,20.33916,73.22329,"(20.33916, 73.22329)",1.6
Kaptal-Aryk,12253,Valid,L6,1937.0,42.45,73.36667,"(42.45, 73.36667)",3.5
Karatu,12258,Valid,LL6,1963.0,-3.5,35.58333,"(-3.5, 35.58333)",2.22
Karewar,12260,Valid,L6,1949.0,12.9,7.15,"(12.9, 7.15)",0.18
Karkh,12262,Valid,L6,1905.0,27.8,67.16667,"(27.8, 67.16667)",22.0
Karloowala,12263,Valid,L6,1955.0,31.58333,71.6,"(31.58333, 71.6)",2.95
Karoonda,12264,Valid,CK4,1930.0,-35.08333,139.91667,"(-35.08333, 139.91667)",41.73
Kasamatsu,12266,Valid,H,1938.0,35.36667,136.76667,"(35.36667, 136.76667)",0.71
Kasauli,30740,Valid,H4,2003.0,29.58333,77.58333,"(29.58333, 77.58333)",16.82
Katagum,35465,Valid,L6,1999.0,11.33333,10.08333,"(11.33333, 10.08333)",1.5
Kavarpura,47351,Valid,"Iron, IIE-an",2006.0,25.14333,75.81333,"(25.14333, 75.81333)",6.8
Kayakent,12268,Valid,"Iron, IIIAB",1961.0,39.26333,31.78,"(39.26333, 31.78)",85.0
Kediri,12270,Valid,L4,1940.0,-7.75,112.01667,"(-7.75, 112.01667)",3.3
Kemer,53654,Valid,L4,2008.0,36.54194,29.41822,"(36.54194, 29.41822)",5.76
Kendleton,12275,Valid,L4,1939.0,29.45,-96.0,"(29.45, -96.0)",6.937
Kendrapara,12276,Valid,H4-5,2003.0,20.4625,86.70278,"(20.4625, 86.70278)",6.6692
Khanpur,12289,Valid,LL5,1932.0,25.55,83.11667,"(25.55, 83.11667)",3.698
Khmelevka,12297,Valid,L5,1929.0,56.75,75.33333,"(56.75, 75.33333)",6.109
Khohar,12298,Valid,L3.6,1910.0,25.1,81.53333,"(25.1, 81.53333)",9.7
Khor Temiki,12299,Valid,Aubrite,1932.0,16.0,36.0,"(16.0, 36.0)",3.2
Kidairat,12300,Valid,H6,1983.0,14.0,28.0,"(14.0, 28.0)",100.0
Kiel,12301,Valid,L6,1962.0,54.4,10.15,"(54.4, 10.15)",0.7376
Kiffa,12303,Valid,H5,1970.0,16.58333,-11.33333,"(16.58333, -11.33333)",1.5
Kijima (1906),12305,Valid,Stone-uncl,1906.0,36.85,138.38333,"(36.85, 138.38333)",0.331
Kilabo,12307,Valid,LL6,2002.0,12.76667,9.8,"(12.76667, 9.8)",19.0
Kilbourn,12308,Valid,H5,1911.0,43.58333,-89.6,"(43.58333, -89.6)",0.772
Kingai,12316,Valid,H6,1967.0,11.63333,24.68333,"(11.63333, 24.68333)",0.0674
Kirbyville,12321,Valid,Eucrite-mmict,1906.0,30.75,-95.95,"(30.75, -95.95)",0.09770000000000001
Kisvarsány,12325,Valid,L6,1914.0,48.16667,22.30833,"(48.16667, 22.30833)",1.55
Kitchener,12326,Valid,L6,1998.0,43.38333,-80.38333,"(43.38333, -80.38333)",0.2026
Kobe,12336,Valid,CK4,1999.0,34.73333,135.16667,"(34.73333, 135.16667)",0.136
Kokubunji,12342,Valid,L6,1986.0,34.3,133.95,"(34.3, 133.95)",11.51
Komagome,12343,Valid,Iron,1926.0,35.73333,139.75,"(35.73333, 139.75)",0.238
Konovo,12344,Valid,LL5,1931.0,42.51667,26.16667,"(42.51667, 26.16667)",0.09
Košice,53810,Valid,H5,2010.0,48.76367,21.17633,"(48.76367, 21.17633)",4.3
Krasnyi Klyuch,12357,Valid,H5,1946.0,54.33333,56.08333,"(54.33333, 56.08333)",4.0
Krutikha,12363,Valid,OC,1906.0,56.8,77.0,"(56.8, 77.0)",0.8452000000000001
Krymka,12364,Valid,LL3.2,1946.0,47.83333,30.76667,"(47.83333, 30.76667)",50.0
Kukschin,12368,Valid,L6,1938.0,51.15,31.7,"(51.15, 31.7)",2.25
Kulak,12369,Valid,L5,1961.0,30.73111,66.80222,"(30.73111, 66.80222)",0.4536
Kulp,12373,Valid,H6,1906.0,41.11667,45.0,"(41.11667, 45.0)",3.719
Kunashak,12377,Valid,L6,1949.0,55.78333,61.36667,"(55.78333, 61.36667)",200.0
Kunya-Urgench,12379,Valid,H5,1998.0,42.25,59.2,"(42.25, 59.2)",1100.0
Kushiike,12381,Valid,OC,1920.0,37.05,138.38333,"(37.05, 138.38333)",4.46
Kutais,12383,Valid,H5,1977.0,44.51667,39.3,"(44.51667, 39.3)",0.023
Kuttippuram,12384,Valid,L6,1914.0,10.83333,76.03333,"(10.83333, 76.03333)",45.0
Kuznetzovo,12385,Valid,L6,1932.0,55.2,75.33333,"(55.2, 75.33333)",4.047
La Colina,12395,Valid,H5,1924.0,-37.33333,-61.53333,"(-37.33333, -61.53333)",2.0
La Criolla,12396,Valid,L6,1985.0,-31.23333,-58.16667,"(-31.23333, -58.16667)",45.0
Lahrauli,12433,Valid,Ureilite,1955.0,26.78333,82.71667,"(26.78333, 82.71667)",0.9
Lakangaon,12435,Valid,Eucrite-mmict,1910.0,21.86667,76.03333,"(21.86667, 76.03333)",0.2125
Långhalsen,12461,Valid,L6,1947.0,58.85,16.73333,"(58.85, 16.73333)",2.3
Lanxi,12464,Valid,L6,1986.0,46.24167,126.19611,"(46.24167, 126.19611)",1.282
Lanzenkirchen,12465,Valid,L4,1925.0,47.75,16.23333,"(47.75, 16.23333)",7.0
Laochenzhen,12466,Valid,H5,1987.0,33.13333,115.16667,"(33.13333, 115.16667)",14.25
Lavrentievka,12743,Valid,L6,1938.0,52.45,51.56667,"(52.45, 51.56667)",0.8
Leedey,12755,Valid,L6,1943.0,35.88333,-99.33333,"(35.88333, -99.33333)",51.5
Leeuwfontein,12756,Valid,L6,1912.0,-25.66667,28.36667,"(-25.66667, 28.36667)",0.46
Leighlinbridge,12759,Valid,L6,1999.0,52.66667,-6.96667,"(52.66667, -6.96667)",0.2714
Leighton,12760,Valid,H5,1907.0,34.58333,-87.5,"(34.58333, -87.5)",0.877
Lichtenberg,14646,Valid,H6,1973.0,-26.15,26.18333,"(-26.15, 26.18333)",4.0
Lillaverke,14650,Valid,H5,1930.0,56.65,15.86667,"(56.65, 15.86667)",6.862
Lishui,14659,Valid,L5,1978.0,31.63333,118.98333,"(31.63333, 118.98333)",0.498
Lohawat,14678,Valid,Howardite,1994.0,26.96556,72.62667,"(26.96556, 72.62667)",40.0
Lorton,52843,Valid,L6,2010.0,38.70066,-77.21163,"(38.70066, -77.21163)",0.3297
Lost City,14711,Valid,H5,1970.0,36.00833,-95.15,"(36.00833, -95.15)",17.0
Louisville,14716,Valid,L6,1977.0,38.25,-85.75,"(38.25, -85.75)",1.3
Łowicz,14718,Valid,Mesosiderite-A3,1935.0,52.0,19.91667,"(52.0, 19.91667)",59.0
Lua,14721,Valid,L5,1926.0,24.95,75.15,"(24.95, 75.15)",9.241
Lunan,14754,Valid,H6,1980.0,24.8,103.3,"(24.8, 103.3)",2.52
Mabwe-Khoywa,14764,Valid,L5,1937.0,19.0,97.0,"(19.0, 97.0)",0.54
Machinga,15371,Valid,L6,1981.0,-15.21222,35.24222,"(-15.21222, 35.24222)",93.2
Macibini,15372,Valid,Eucrite-pmict,1936.0,-28.83333,31.95,"(-28.83333, 31.95)",1.995
Madhipura,15379,Valid,L,1950.0,25.91667,86.36667,"(25.91667, 86.36667)",1.0
Madiun,15380,Valid,L6,1935.0,-7.75,111.53333,"(-7.75, 111.53333)",0.4
Mafra,15383,Valid,L3-4,1941.0,-26.16667,-49.93333,"(-26.16667, -49.93333)",0.6
Magombedze,15387,Valid,H3-5,1990.0,-19.48333,31.65,"(-19.48333, 31.65)",0.6666
Mahadevpur,47361,Valid,H4/5,2007.0,27.66667,95.78333,"(27.66667, 95.78333)",70.5
Maigatari-Danduma,30751,Valid,H5/6,2004.0,12.83333,9.38333,"(12.83333, 9.38333)",4.629
Malaga,15393,Valid,OC,1933.0,32.21667,-104.0,"(32.21667, -104.0)",0.15
Malakal,15394,Valid,L5,1970.0,9.5,31.75,"(9.5, 31.75)",2.0
Malampaka,15395,Valid,H,1930.0,-3.13333,33.51667,"(-3.13333, 33.51667)",0.47
Malvern,15400,Valid,Eucrite-pmict,1933.0,-29.45,26.76667,"(-29.45, 26.76667)",0.807
Mamra Springs,15401,Valid,L6,1927.0,45.21667,62.08333,"(45.21667, 62.08333)",1.0
Mangwendi,15405,Valid,LL6,1934.0,-17.65,31.6,"(-17.65, 31.6)",22.3
Manych,15409,Valid,LL3.4,1951.0,45.81667,44.63333,"(45.81667, 44.63333)",3.555
Mardan,15414,Valid,H5,1948.0,34.23333,72.08333,"(34.23333, 72.08333)",4.5
Maribo,48973,Valid,CM2,2009.0,54.76183,11.46745,"(54.76183, 11.46745)",0.02581
Maridi,15421,Valid,H6,1941.0,4.66667,29.25,"(4.66667, 29.25)",3.2
Marilia,15422,Valid,H4,1971.0,-22.25,-49.93333,"(-22.25, -49.93333)",2.5
Marjalahti,15426,Valid,"Pallasite, PMG",1902.0,61.5,30.5,"(61.5, 30.5)",45.0
Maromandia,15430,Valid,L6,2002.0,-14.2,48.1,"(-14.2, 48.1)",6.0
Maryville,15436,Valid,L6,1983.0,35.8,-84.1,"(35.8, -84.1)",1.443
Mason Gully,53653,Valid,H5,2010.0,0.0,0.0,"(0.0, 0.0)",0.02454
Mayo Belwa,15451,Valid,Aubrite,1974.0,8.96667,12.08333,"(8.96667, 12.08333)",4.85
Maziba,15454,Valid,L6,1942.0,-1.21667,30.0,"(-1.21667, 30.0)",4.975
Mbale,15455,Valid,L5/6,1992.0,1.06667,34.16667,"(1.06667, 34.16667)",150.0
Medanitos,15467,Valid,Eucrite-cm,1953.0,-27.25,-67.5,"(-27.25, -67.5)",0.031
Meester-Cornelis,15470,Valid,H5,1915.0,-6.23333,106.88333,"(-6.23333, 106.88333)",24.75
Menziswyl,15486,Valid,L5,1903.0,46.81867,7.21817,"(46.81867, 7.21817)",0.0289
Meru,15491,Valid,LL6,1945.0,0.0,37.66667,"(0.0, 37.66667)",6.0
Merua,15492,Valid,H5,1920.0,25.48333,81.98333,"(25.48333, 81.98333)",71.4
Messina,15495,Valid,L5,1955.0,38.18333,15.56667,"(38.18333, 15.56667)",2.405
Mezel,16627,Valid,L6,1949.0,45.76667,3.25,"(45.76667, 3.25)",1.3
Mianchi,16631,Valid,H5,1980.0,34.8,111.7,"(34.8, 111.7)",1.1
Mifflin,52090,Valid,L5,2010.0,42.9075,-90.36556,"(42.9075, -90.36556)",3.584
Mihonoseki,16635,Valid,L6,1992.0,35.56833,133.22,"(35.56833, 133.22)",6.38
Mike,16636,Valid,L6,1944.0,46.23333,17.53333,"(46.23333, 17.53333)",0.22419999999999998
Millbillillie,16643,Valid,Eucrite-mmict,1960.0,-26.45,120.36667,"(-26.45, 120.36667)",330.0
Miller (Arkansas),16645,Valid,H5,1930.0,35.4,-92.05,"(35.4, -92.05)",16.7
Min-Fan-Zhun,16697,Valid,LL6,1952.0,32.33333,120.66667,"(32.33333, 120.66667)",5.5
Minnichhof,16700,Valid,OC,1905.0,47.7,16.6,"(47.7, 16.6)",0.55
Mirzapur,16701,Valid,L5,1910.0,25.68333,83.25,"(25.68333, 83.25)",8.51
Modoc (1905),16711,Valid,L6,1905.0,38.5,-101.1,"(38.5, -101.1)",35.0
Mokoia,16713,Valid,CV3,1908.0,-39.63333,174.4,"(-39.63333, 174.4)",4.5
Molteno,16717,Valid,Howardite,1953.0,-31.25,26.46667,"(-31.25, 26.46667)",0.15
Monahans (1998),16719,Valid,H5,1998.0,31.60833,-102.85833,"(31.60833, -102.85833)",2.587
Monte das Fortes,16725,Valid,L5,1950.0,38.01667,-8.25,"(38.01667, -8.25)",4.885
Montferré,16727,Valid,H5,1923.0,43.39056,1.9625,"(43.39056, 1.9625)",149.0
Moore County,16736,Valid,Eucrite-cm,1913.0,35.41667,-79.38333,"(35.41667, -79.38333)",1.88
Moorleah,16738,Valid,L6,1930.0,-40.975,145.6,"(-40.975, 145.6)",8.8875
Morávka,16742,Valid,H5,2000.0,49.6,18.53333,"(49.6, 18.53333)",0.633
Moss,36592,Valid,CO3.6,2006.0,59.43333,10.7,"(59.43333, 10.7)",3.763
Mount Browne,16766,Valid,H6,1902.0,-29.8,141.7,"(-29.8, 141.7)",11.3
Mount Tazerzait,16804,Valid,L5,1991.0,18.7,4.8,"(18.7, 4.8)",110.0
Mtola,16820,Valid,Stone-uncl,1944.0,-11.5,33.5,"(-11.5, 33.5)",1.1
Muraid,16874,Valid,L6,1924.0,24.5,90.21667,"(24.5, 90.21667)",4.703
Murchison,16875,Valid,CM2,1969.0,-36.61667,145.2,"(-36.61667, 145.2)",100.0
Murray,16882,Valid,CM2,1950.0,36.6,-88.1,"(36.6, -88.1)",12.6
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1964.0,26.13333,85.53333,"(26.13333, 85.53333)",1.245
Nadiabondi,16889,Valid,H5,1956.0,12.0,1.0,"(12.0, 1.0)",8.165
Nagai,16890,Valid,L6,1922.0,38.12167,140.06167,"(38.12167, 140.06167)",1.81
Nakhla,16898,Valid,Martian (nakhlite),1911.0,31.31667,30.35,"(31.31667, 30.35)",10.0
Nakhon Pathom,16899,Valid,L6,1923.0,13.73333,100.08333,"(13.73333, 100.08333)",23.2
Nan Yang Pao,16903,Valid,L6,1917.0,35.66667,103.5,"(35.66667, 103.5)",52.9
Nantong,16907,Valid,H6,1984.0,32.11667,121.8,"(32.11667, 121.8)",0.529
Naoki,16908,Valid,H6,1928.0,19.25,77.0,"(19.25, 77.0)",17.0
Naragh,16909,Valid,H6,1974.0,33.75,51.5,"(33.75, 51.5)",2.7
Narellan,16912,Valid,L6,1928.0,-34.05,150.68889,"(-34.05, 150.68889)",0.3675
Nassirah,16922,Valid,H4,1936.0,-21.73333,165.9,"(-21.73333, 165.9)",0.347
Neagari,16934,Valid,L6,1995.0,36.44917,136.46528,"(36.44917, 136.46528)",0.42
Nejo,16941,Valid,L6,1970.0,9.5,35.33333,"(9.5, 35.33333)",2.45
Neuschwanstein,16950,Valid,EL6,2002.0,47.525,10.80833,"(47.525, 10.80833)",6.189
New Halfa,16954,Valid,L4,1994.0,15.36667,35.68333,"(15.36667, 35.68333)",12.0
New Orleans,16960,Valid,H5,2003.0,29.94718,-90.10976,"(29.94718, -90.10976)",19.256
Nikolaevka,16976,Valid,H4,1935.0,52.45,78.63333,"(52.45, 78.63333)",3.996
Nikolskoe,16977,Valid,L4,1954.0,56.11667,37.33333,"(56.11667, 37.33333)",6.0
Ningbo,16980,Valid,"Iron, IVA",1975.0,29.86667,121.48333,"(29.86667, 121.48333)",14.25
Ningqiang,16981,Valid,C3-ung,1983.0,32.925,105.90667,"(32.925, 105.90667)",4.61
N'Kandhla,16983,Valid,"Iron, IID",1912.0,-28.56667,30.7,"(-28.56667, 30.7)",17.2
Noblesville,16985,Valid,H4-6,1991.0,40.08528,-86.055,"(40.08528, -86.055)",0.48369999999999996
Norfork,16994,Valid,"Iron, IIIAB",1918.0,36.21667,-92.26667,"(36.21667, -92.26667)",1.05
Norton County,17922,Valid,Aubrite,1948.0,39.68333,-99.86667,"(39.68333, -99.86667)",1100.0
Noventa Vicentina,17930,Valid,H4,1971.0,45.29167,11.52722,"(45.29167, 11.52722)",0.177
Novy-Projekt,17935,Valid,OC,1908.0,56.0,22.0,"(56.0, 22.0)",1.001
Noyan-Bogdo,17936,Valid,L6,1933.0,42.91667,102.46667,"(42.91667, 102.46667)",0.25
Nuevo Mercurio,17938,Valid,H5,1978.0,24.3,-102.13333,"(24.3, -102.13333)",50.0
Numakai,17960,Valid,H4,1925.0,43.33333,141.86667,"(43.33333, 141.86667)",0.363
Nyaung,17969,Valid,"Iron, IIIAB",1939.0,21.20833,94.91667,"(21.20833, 94.91667)",0.7376
Nyirábrany,17970,Valid,LL5,1914.0,47.55,22.025,"(47.55, 22.025)",1.1
Oesede,17988,Valid,H5,1927.0,52.28333,8.05,"(52.28333, 8.05)",1.4
Ohuma,17996,Valid,L5,1963.0,6.75,8.5,"(6.75, 8.5)",7.7
Ojuelos Altos,17997,Valid,L6,1926.0,38.18333,-5.4,"(38.18333, -5.4)",5.85
Okabe,17998,Valid,H5,1958.0,36.18333,139.21667,"(36.18333, 139.21667)",0.194
Okano,18000,Valid,"Iron, IIAB",1904.0,35.08333,135.2,"(35.08333, 135.2)",4.742
Oldenburg (1930),18009,Valid,L6,1930.0,52.95,8.16667,"(52.95, 8.16667)",16.57
Olivenza,18013,Valid,LL5,1924.0,38.71667,-7.06667,"(38.71667, -7.06667)",150.0
