name,id,nametype,recclass,year,reclat,reclong,GeoLocation,mass
Ucera,24097,Valid,H5,1970.0,11.05,-69.85,"(11.05, -69.85)",4.59
Uchkuduk,24098,Valid,L6,1989.0,41.76667,62.51667,"(41.76667, 62.51667)",1.0
Udei Station,24101,Valid,"Iron, IAB-ung",1927.0,7.95,8.08333,"(7.95, 8.08333)",103.0
Ufana,24106,Valid,EL6,1957.0,-4.26667,35.35,"(-4.26667, 35.35)",0.18919999999999998
Ulmiz,24108,Valid,L,1926.0,46.93333,7.21667,"(46.93333, 7.21667)",0.0765
Umm Ruaba,24118,Valid,L5,1966.0,13.46667,31.21667,"(13.46667, 31.21667)",1.7
Undulung,24121,Valid,L4,1986.0,66.13889,124.76667,"(66.13889, 124.76667)",0.1134
Unkoku,24123,Valid,OC,1924.0,34.8,127.0,"(34.8, 127.0)",1.0
Urasaki,24129,Valid,Stone-uncl,1926.0,34.48333,133.28333,"(34.48333, 133.28333)",1.5
Usti Nad Orlici,24132,Valid,L6,1963.0,49.975,16.375,"(49.975, 16.375)",1.269
Utzenstorf,24136,Valid,H5,1928.0,47.11667,7.55,"(47.11667, 7.55)",3.422
Valdavur,24144,Valid,H6,1944.0,11.98333,79.75,"(11.98333, 79.75)",2.799
Valdinizza,24145,Valid,L6,1903.0,44.86667,9.15,"(44.86667, 9.15)",1.004
Valera,24149,Valid,L5,1972.0,9.31667,-70.62833,"(9.31667, -70.62833)",50.0
Varre-Sai,53633,Valid,L5,2010.0,-20.85001,-41.73356,"(-20.85001, -41.73356)",2.5
Vengerovo,24158,Valid,H5,1950.0,56.13333,77.26667,"(56.13333, 77.26667)",10.8
Vetluga,24169,Valid,Eucrite-mmict,1949.0,57.8,45.8,"(57.8, 45.8)",0.75
Vigarano,24174,Valid,CV3,1910.0,44.85,11.4,"(44.85, 11.4)",15.0
Villalbeto de la Peña,24179,Valid,L6,2004.0,42.8,-4.66667,"(42.8, -4.66667)",3.5
Vilna,24183,Valid,L5,1967.0,54.225,-111.69167,"(54.225, -111.69167)",0.0001
Vishnupur,24187,Valid,LL4-6,1906.0,23.1,87.43333,"(23.1, 87.43333)",2.437
Vissannapeta,24188,Valid,Eucrite-cm,1997.0,16.83333,80.75,"(16.83333, 80.75)",1.3037999999999998
Visuni,24189,Valid,H6,1915.0,25.45,70.0,"(25.45, 70.0)",0.594
